item_name,canonical_key,buddy_url,page_data_url,cache_file_name,status,http_status,source_status,fetched_at,flags,notes
Unpolished Aquacite,unpolished aquacite,https://buddy.farm/i/unpolished-aquacite/,https://buddy.farm/page-data/i/unpolished-aquacite/page-data.json,unpolished-aquacite__unpolished-aquacite.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Broccoli Seeds,broccoli seeds,https://buddy.farm/i/broccoli-seeds/,https://buddy.farm/page-data/i/broccoli-seeds/page-data.json,broccoli-seeds__broccoli-seeds.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Goldray,goldray,https://buddy.farm/i/goldray/,https://buddy.farm/page-data/i/goldray/page-data.json,goldray__goldray.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Sunflower Seeds,sunflower seeds,https://buddy.farm/i/sunflower-seeds/,https://buddy.farm/page-data/i/sunflower-seeds/page-data.json,sunflower-seeds__sunflower-seeds.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Glass Jar,glass jar,https://buddy.farm/i/glass-jar/,https://buddy.farm/page-data/i/glass-jar/page-data.json,glass-jar__glass-jar.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Eggs,eggs,https://buddy.farm/i/eggs/,https://buddy.farm/page-data/i/eggs/page-data.json,eggs__eggs.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Dragon Skull,dragon skull,https://buddy.farm/i/dragon-skull/,https://buddy.farm/page-data/i/dragon-skull/page-data.json,dragon-skull__dragon-skull.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Fish Biscuit,fish biscuit,https://buddy.farm/i/fish-biscuit/,https://buddy.farm/page-data/i/fish-biscuit/page-data.json,fish-biscuit__fish-biscuit.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Leather Waterskin,leather waterskin,https://buddy.farm/i/leather-waterskin/,https://buddy.farm/page-data/i/leather-waterskin/page-data.json,leather-waterskin__leather-waterskin.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Groundhog Buddy Doll,groundhog buddy doll,https://buddy.farm/i/groundhog-buddy-doll/,https://buddy.farm/page-data/i/groundhog-buddy-doll/page-data.json,groundhog-buddy-doll__groundhog-buddy-doll.json,skip_fresh,200,sources_blank,2026-06-04T21:57:44.440Z,sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Garden Claw,garden claw,https://buddy.farm/i/garden-claw/,https://buddy.farm/page-data/i/garden-claw/page-data.json,garden-claw__garden-claw.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe new item; cache Buddy page evidence when available.; Cached evidence is newer than 30 days.
Ghost Jelly,ghost jelly,https://buddy.farm/i/ghost-jelly/,https://buddy.farm/page-data/i/ghost-jelly/page-data.json,ghost-jelly__ghost-jelly.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
White Dye,white dye,https://buddy.farm/i/white-dye/,https://buddy.farm/page-data/i/white-dye/page-data.json,white-dye__white-dye.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Moonstone,moonstone,https://buddy.farm/i/moonstone/,https://buddy.farm/page-data/i/moonstone/page-data.json,moonstone__moonstone.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Crunchy Omelette,crunchy omelette,https://buddy.farm/i/crunchy-omelette/,https://buddy.farm/page-data/i/crunchy-omelette/page-data.json,crunchy-omelette__crunchy-omelette.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Certificate of Pine Giving,certificate of pine giving,https://buddy.farm/i/certificate-of-pine-giving/,https://buddy.farm/page-data/i/certificate-of-pine-giving/page-data.json,certificate-of-pine-giving__certificate-of-pine-giving.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Swordfish,swordfish,https://buddy.farm/i/swordfish/,https://buddy.farm/page-data/i/swordfish/page-data.json,swordfish__swordfish.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Concord Grape Pie,concord grape pie,https://buddy.farm/i/concord-grape-pie/,https://buddy.farm/page-data/i/concord-grape-pie/page-data.json,concord-grape-pie__concord-grape-pie.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Vixen,vixen,https://buddy.farm/i/vixen/,https://buddy.farm/page-data/i/vixen/page-data.json,vixen__vixen.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Amber,amber,https://buddy.farm/i/amber/,https://buddy.farm/page-data/i/amber/page-data.json,amber__amber.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Present 02,present 02,https://buddy.farm/i/present-02/,https://buddy.farm/page-data/i/present-02/page-data.json,present-02__present-02.json,skip_fresh,200,sources_blank,2026-06-04T21:57:44.440Z,sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Party Horn,party horn,https://buddy.farm/i/party-horn/,https://buddy.farm/page-data/i/party-horn/page-data.json,party-horn__party-horn.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Flame Orb,flame orb,https://buddy.farm/i/flame-orb/,https://buddy.farm/page-data/i/flame-orb/page-data.json,flame-orb__flame-orb.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Teddy Bear,teddy bear,https://buddy.farm/i/teddy-bear/,https://buddy.farm/page-data/i/teddy-bear/page-data.json,teddy-bear__teddy-bear.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Thomas Bobblehead,thomas bobblehead,https://buddy.farm/i/thomas-bobblehead/,https://buddy.farm/page-data/i/thomas-bobblehead/page-data.json,thomas-bobblehead__thomas-bobblehead.json,skip_fresh,200,sources_present,2026-06-04T21:57:44.440Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.; Cached evidence is newer than 30 days.
Peculiar Gem,peculiar gem,https://buddy.farm/i/peculiar-gem/,https://buddy.farm/page-data/i/peculiar-gem/page-data.json,peculiar-gem__peculiar-gem.json,cached,200,sources_blank,2026-06-04T22:11:27.866Z,sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Shark Tooth,shark tooth,https://buddy.farm/i/shark-tooth/,https://buddy.farm/page-data/i/shark-tooth/page-data.json,shark-tooth__shark-tooth.json,cached,200,sources_present,2026-06-04T22:11:27.866Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Mystical Chest 01,mystical chest 01,https://buddy.farm/i/mystical-chest-01/,https://buddy.farm/page-data/i/mystical-chest-01/page-data.json,mystical-chest-01__mystical-chest-01.json,cached,200,sources_present,2026-06-04T22:11:27.866Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Book of Maps,book of maps,https://buddy.farm/i/book-of-maps/,https://buddy.farm/page-data/i/book-of-maps/page-data.json,book-of-maps__book-of-maps.json,cached,200,sources_present,2026-06-04T22:11:27.866Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Egg 03,egg 03,https://buddy.farm/i/egg-03/,https://buddy.farm/page-data/i/egg-03/page-data.json,egg-03__egg-03.json,cached,200,sources_present,2026-06-04T22:11:27.866Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Large Chest 01,large chest 01,https://buddy.farm/i/large-chest-01/,https://buddy.farm/page-data/i/large-chest-01/page-data.json,large-chest-01__large-chest-01.json,cached,200,sources_present,2026-06-04T22:11:27.866Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Borgen Buck,borgen buck,https://buddy.farm/i/borgen-buck/,https://buddy.farm/page-data/i/borgen-buck/page-data.json,borgen-buck__borgen-buck.json,cached,200,sources_present,2026-06-04T22:11:27.866Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Apple Belt,apple belt,https://buddy.farm/i/apple-belt/,https://buddy.farm/page-data/i/apple-belt/page-data.json,apple-belt__apple-belt.json,cached,200,sources_blank,2026-06-04T22:11:27.866Z,sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Gold Laurel,gold laurel,https://buddy.farm/i/gold-laurel/,https://buddy.farm/page-data/i/gold-laurel/page-data.json,gold-laurel__gold-laurel.json,cached,200,sources_blank,2026-06-04T22:11:27.866Z,sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Fossilized Print,fossilized print,https://buddy.farm/i/fossilized-print/,https://buddy.farm/page-data/i/fossilized-print/page-data.json,fossilized-print__fossilized-print.json,cached,200,sources_blank,2026-06-04T22:11:27.866Z,sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Buddy's Sleeping Cap,buddy's sleeping cap,https://buddy.farm/i/buddy-s-sleeping-cap/,https://buddy.farm/page-data/i/buddy-s-sleeping-cap/page-data.json,buddy-s-sleeping-cap__buddy-s-sleeping-cap.json,cached,200,sources_present,2026-06-04T22:11:27.866Z,,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
